Number,StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q134,IRBConsent ,Latino,Latino_5_TEXT,State,BirthYear,Sex,Race,SkinTone,Income,AttentionCheck1,Education ,TermLatinoHispanic ,PolKnow1,PolKnowledgeMatrix _1,PolKnowledgeMatrix _2,AttentionCheck2,SocDomMatrix_1,SocDomMatrix_2,SocDomMatrix_3,Birthplace,ParentsBirthplace ,Grandparents_Born ,Language,Language_4_TEXT,LinkedFate,ImmResentment_Matrix_1,ImmResentment_Matrix_2,ImmResentment_Matrix_3,ImmResentment_Matrix_4,Voted,VotedFor,Party3,Party3_3_TEXT,Party7pt ,IndParty ,IntragroupDistinct,Emotions_1,Emotions_2,Emotions_9,Emotions_10,Emotions_11,Emotions_12,ManipCheck1,ImmAttitudeHyp ,LikelyToHappen ,AffectLatinoComm,AffectImmComm,PersonallyAffect,GroupDiscImms,GroupDiscLatinos ,PersDisc,StigmaImmMatrix_1,StigmaImmMatrix_2,StigmaImmMatrix_3,StigmaLatinoMatrix_1,StigmaLatinoMatrix_2,StigmaLatinoMatrix_3,IntExtEffPost _1,IntExtEffPost _2,IntExtEffPost _3,IntExtEffPost _4,BelongingPost_1,BelongingPost_2,BelongText1,BelongText ,BelongExternal_1,BelongExternal_2,BorderPoliciesMatrix_1,BorderPoliciesMatrix_2,BorderPoliciesMatrix_3,BorderPoliciesMatrix_4,BorderPoliciesMatrix_5,BorderPoliciesMatrix_6,Participation1 ,OpenEnd,Participation2 ,OpenEndVers2 ,PROLIFIC_PID,AC1Fail,AC2Fail
,Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,"What is your Prolific ID?

Please note that this response should auto-fill automatically with the correct ID.","Consent to Participate in Research 



The purpose of this study is to understand political attitudes and participation in elections. Participation in this study will require 15 minutes of your time, and compensation for this survey is estimated to be $2.14. The investigator anticipates minimal risk, and any identifying information will be removed after the data collection.



For more information, you can review the full study information and consent form here. (This will open a new tab.) By continuing the survey, I freely consent to participate, I certify that I live in the United States and that I am at least 18 years of age.",Are you of Latino or Hispanic origin? - Selected Choice,"Are you of Latino or Hispanic origin? - Yes, other (Please specify.) - Text","50 States, D.C. and Puerto Rico",In what year were you born?,What is your sex?,Choose one or more races that you consider yourself to be,"As you know, human beings have a variety of skin colors. Displayed above is a skin color scale that ranges from 1 (representing the lightest skin color) to 10 (representing the darkest skin color). Please indicate which hand comes closest to your own skin color.",What was your total household income before taxes during the past 12 months?,"People are very busy these days, and many do not have time to stay up to date with politics. We are testing whether people read questions. To show that you've read this much, answer both ""not at all interested"" and ""very interested.""

Based on the text above, how interested are you in political affairs?",What is the highest level of education you have completed?,Which of these terms do you prefer to describe people of Latino or Hispanic origin?,Which party currently has the most members in the U.S. Senate?,Please answer the following questions by selecting the correct person from the options below. - Who is the current Speaker of the House?,"Please answer the following questions by selecting the correct person from the options below. - Of these, who is most likely to support greater government spending?","There are many news sources available for the public. To continue the survey, it is necessary to verify whether you are a real person. To confirm that you are a real person, for the next question, simply select Fox News and NBC and ignore the other options.

Based on the text above, what news outlets do you typically receive your news from?","Do you agree or disagree with the following statements: - ""We should do whatever we can to make conditions equal for all groups.""","Do you agree or disagree with the following statements: - ""It's okay that some groups have more of a chance in life than others.""","Do you agree or disagree with the following statements: - ""Superior groups should dominate inferior groups.""",Were you born in the US?,Were your parents born in the US or in another country?,How about your grandparents? Where were they born?,What is the language that is most used in your place of residence? - Selected Choice,What is the language that is most used in your place of residence? - Other (Please specify.) - Text,"How much do you think what happens to [QID116-ChoiceGroup-SelectedChoices] people will have something to do with
what happens in your life?","How much do you agree or disagree with these statements? - ""Undocumented immigrants make other [QID116-ChoiceGroup-SelectedChoices]s look bad.""","How much do you agree or disagree with these statements? - ""Previous generations of immigrants were able to become successful without relying on government welfare benefits - new immigrants should do the same.""","How much do you agree or disagree with these statements? - ""There is no excuse for breaking the law and entering the US illegally.""","How much do you agree or disagree with these statements? - ""[QID116-ChoiceGroup-SelectedChoices]s would be treated better in the US if immigrants would try harder to learn English and adopt US customs like other ethnic groups have done.""","In talking to people about elections, we often find that a lot of people
were not able to vote because they weren’t registered, they were
sick, or they just didn’t have time.
Which of the following statements best describes you? (1), I did not vote in the 2024 election;
(2), I thought about voting in the 2024 election, but didn’t;
(3), I usually vote, but didn’t vote in the 2024 election; or
(4), I definitely voted in the 2024 election.","In the Presidential election in 2024, who did you vote for?","Generally speaking, do you usually think of yourself as a Republican, a Democrat, or something else? - Selected Choice","Generally speaking, do you usually think of yourself as a Republican, a Democrat, or something else? - Something else - Text",Would you consider yourself a strong [QID1319530503-ChoiceGroup-SelectedChoices]?,"Though you identify as something else, would you consider yourself closer to the Democratic or Republican Party?","When Donald Trump speaks about immigration, do you feel that he is talking about the [QID116-ChoiceGroup-SelectedChoices] community as a whole?","After reading about the proposed policy in your state, did you feel any of the following emotions? - Relief","After reading about the proposed policy in your state, did you feel any of the following emotions? - Anger","After reading about the proposed policy in your state, did you feel any of the following emotions? - Pride","After reading about the proposed policy in your state, did you feel any of the following emotions? - Fear","After reading about the proposed policy in your state, did you feel any of the following emotions? - Joy","After reading about the proposed policy in your state, did you feel any of the following emotions? - Shame",What issue in your state did the proposed policy that you just read about primarily address?,Do you support or oppose the proposed policy in your state?,How likely do you think that the proposed policy would be enacted in your state?,To what extent do you think this proposed policy would affect the [QID116-ChoiceGroup-SelectedChoices] community?,To what extent do you think this proposed policy would affect the immigrant community?,"If this policy were passed, do you think you would experience more discrimination because of your ethnicity, immigration status, or accent?",How much discrimination is there in the United States today against immigrants?,How much discrimination is there in the United States today against [QID116-ChoiceGroup-SelectedChoices]?,"Have you ever been treated unfairly or personally experienced discrimination because of your ethnicity, being an immigrant, or having an accent?","How much do you agree or disagree with these statements? - ""Most residents of my state believe that immigrants are a major source of crime.""","How much do you agree or disagree with these statements? - ""Politicians in my state often talk negatively about immigrants.""","How much do you agree or disagree with these statements? - ""State-level policies in my state treat immigrants unfairly.""","How much do you agree or disagree with these statements? - ""Most residents of my state believe that [QID116-ChoiceGroup-SelectedChoices]s are a major source of crime.""","How much do you agree or disagree with these statements? - ""Politicians in my state often talk negatively about [QID116-ChoiceGroup-SelectedChoices]s.""","How much do you agree or disagree with these statements? - ""State-level policies in my state treat [QID116-ChoiceGroup-SelectedChoices]s unfairly.""","How much do you agree or disagree with these statements? - ""Public officials don't care about what people like me think.""","How much do you agree or disagree with these statements? - ""Sometimes, politics seem so complicated that a person like me can’t really understand what’s going on in government.""","How much do you agree or disagree with these statements? - ""My government is responsive to what the people in my country want.""","How much do you agree or disagree with these statements? - ""I feel that I have a pretty good understanding of the important political issues debated by the government.""","From 0 to 10, how much do you feel you belong in... - your state?","From 0 to 10, how much do you feel you belong in... - the United States?","In 1-2 sentences, can you explain why you feel like you do or do not belong in your state?","In 1-2 sentences, can you explain why you feel like you do or do not belong in the US?",How much do you feel that others value and respect you in... - your state?,How much do you feel that others value and respect you in... - the United States?,How much do you favor or oppose the following policies: - Building a border wall along the U.S.-Mexico border,How much do you favor or oppose the following policies: - Deporting all unauthorized immigrants to their countries of origin,How much do you favor or oppose the following policies: - Deploying U.S. Army active-duty troops to the U.S.-Mexico border,How much do you favor or oppose the following policies: - Decreasing federal spending on border security,"How much do you favor or oppose the following policies: - Prohibiting deportation raids in schools, hospitals, or places of worship",How much do you favor or oppose the following policies: - Granting citizenship for children of unauthorized immigrants,Voto Latino works to help individuals register to vote and cast ballots on time. Would you like to receive more information from them about voting and elections in your state?,"In the previous question, you were asked if you would like to be contacted by a civic organization. In 1-2 sentences, please explain why you would or would not like to be contacted.","Voto Latino provides information on voter registration, casting ballots, and issues affecting the [QID116-ChoiceGroup-SelectedChoices] community. Would you like to receive more information from them about issues facing the [QID116-ChoiceGroup-SelectedChoices] community in your state?","In the previous question, you were asked if you would like to be contacted by a civic organization. In 1-2 sentences, please explain why you would or would not like to be contacted.",PROLIFIC_PID,AC1Fail,AC2Fail
,"{""ImportId"":""startDate"",""timeZone"":""America/New_York""}","{""ImportId"":""endDate"",""timeZone"":""America/New_York""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/New_York""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID134_TEXT""}","{""ImportId"":""QID85""}","{""ImportId"":""QID19""}","{""ImportId"":""QID19_5_TEXT""}","{""ImportId"":""QID93""}","{""ImportId"":""QID9_TEXT""}","{""ImportId"":""QID11""}","{""ImportId"":""QID128""}","{""ImportId"":""QID137""}","{""ImportId"":""QID12""}","{""ImportId"":""QID67""}","{""ImportId"":""QID127""}","{""ImportId"":""QID116""}","{""ImportId"":""QID43""}","{""ImportId"":""QID135_1""}","{""ImportId"":""QID135_2""}","{""ImportId"":""QID48""}","{""ImportId"":""QID94_1""}","{""ImportId"":""QID94_2""}","{""ImportId"":""QID94_3""}","{""ImportId"":""QID20""}","{""ImportId"":""QID21""}","{""ImportId"":""QID108""}","{""ImportId"":""QID22""}","{""ImportId"":""QID22_4_TEXT""}","{""ImportId"":""QID41""}","{""ImportId"":""QID117_1""}","{""ImportId"":""QID117_2""}","{""ImportId"":""QID117_3""}","{""ImportId"":""QID117_4""}","{""ImportId"":""QID86""}","{""ImportId"":""QID129""}","{""ImportId"":""QID1319530503""}","{""ImportId"":""QID1319530503_3_TEXT""}","{""ImportId"":""QID58""}","{""ImportId"":""QID59""}","{""ImportId"":""QID82""}","{""ImportId"":""QID27_1""}","{""ImportId"":""QID27_2""}","{""ImportId"":""QID27_9""}","{""ImportId"":""QID27_10""}","{""ImportId"":""QID27_11""}","{""ImportId"":""QID27_12""}","{""ImportId"":""QID49""}","{""ImportId"":""QID95""}","{""ImportId"":""QID89""}","{""ImportId"":""QID96""}","{""ImportId"":""QID125""}","{""ImportId"":""QID139""}","{""ImportId"":""QID140""}","{""ImportId"":""QID141""}","{""ImportId"":""QID142""}","{""ImportId"":""QID119_1""}","{""ImportId"":""QID119_5""}","{""ImportId"":""QID119_2""}","{""ImportId"":""QID120_1""}","{""ImportId"":""QID120_5""}","{""ImportId"":""QID120_2""}","{""ImportId"":""QID122_1""}","{""ImportId"":""QID122_5""}","{""ImportId"":""QID122_2""}","{""ImportId"":""QID122_6""}","{""ImportId"":""QID34_1""}","{""ImportId"":""QID34_2""}","{""ImportId"":""QID68_TEXT""}","{""ImportId"":""QID69_TEXT""}","{""ImportId"":""QID132_1""}","{""ImportId"":""QID132_2""}","{""ImportId"":""QID133_1""}","{""ImportId"":""QID133_2""}","{""ImportId"":""QID133_3""}","{""ImportId"":""QID133_4""}","{""ImportId"":""QID133_5""}","{""ImportId"":""QID133_6""}","{""ImportId"":""QID31""}","{""ImportId"":""QID60_TEXT""}","{""ImportId"":""QID32""}","{""ImportId"":""QID62_TEXT""}","{""ImportId"":""PROLIFIC_PID""}","{""ImportId"":""AC1Fail""}","{""ImportId"":""AC2Fail""}"
1,5/7/25 15:54,5/7/25 16:01,IP Address,68.226.21.179,100,457,TRUE,5/7/25 16:01,R_6DG8tEs37rMKtYB,,,,,33.3124,-111.9195,anonymous,EN,65028df3dcbf9224299692c4,I consent,"Yes, Mexican",,California,1987,Male,White or Caucasian,2,"$100,000-$149,999","Not at all interested,Very interested",Bachelor’s degree,Latino/a,the Republican Party,Mike Johnson,Chuck Schumer,"Fox News,NBC",Somewhat agree,Somewhat disagree,Somewhat disagree,Yes,"One in the US, one elsewhere","One in the US, three elsewhere",English,,Some,Strongly disagree,Strongly disagree,Somewhat disagree,Somewhat disagree,(4) I definitely voted in the 2024 election,Kamala Harris,Democrat,,Strong,,Always,1,0,3,0,5,0,State symbols,Somewhat support,Somewhat likely,It would not affect ${q://QID116/ChoiceGroup/SelectedChoices}s,It would not affect immigrants,"No, the same amount",Some,Some,"No, I have not experienced discrimination for these reasons",Somewhat disagree,Somewhat disagree,Neither agree or agree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat agree,Strongly disagree,Strongly disagree,Strongly agree,7,3,I belong in my state because I live in California. We are a majority latino state.,Especially in the south I would feel unwelcomed.,7,3,Strongly oppose,Strongly oppose,Somewhat oppose,Somewhat favor,Strongly favor,Strongly favor,,,No,"My state does a good job in keeping us informed about issues, I would not want to be contacted becuase I know the issues well.",65028df3dcbf9224299692c4,0,0
2,5/7/25 15:56,5/7/25 16:06,IP Address,75.42.235.181,100,595,TRUE,5/7/25 16:06,R_7yTdgchjK40aPzr,,,,,34.6537,-99.3252,anonymous,EN,66059f112a799642519f8e87,I consent,"Yes, other (Please specify.)",Panamanian,Oklahoma,1976,Female,White or Caucasian,1,"$25,000-$49,999","Not at all interested,Very interested",Bachelor’s degree,Hispanic,the Republican Party,Mike Johnson,Chuck Schumer,"Fox News,NBC",Strongly disagree,Somewhat agree,Somewhat agree,Yes,"One in the US, one elsewhere","Two in the US, two elsewhere",English,,Not at all,Strongly agree,Strongly agree,Strongly agree,Strongly agree,(4) I definitely voted in the 2024 election,Donald Trump,Republican,,Strong,,Sometimes,0,0,0,0,0,0,Immigration,Strongly support,Somewhat likely,It would not affect ${q://QID116/ChoiceGroup/SelectedChoices}s,It would not affect immigrants,"No, a little less",A little,A little,"No, I have not experienced discrimination for these reasons",Strongly disagree,Strongly disagree,Strongly disagree,Somewhat disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,9,10,"I've lived in Oklahoma as a teen, was nice. I moved here when my husband died, because Texas had too many memories; Is FINE, very diverse","I was BORN here, lived in Panama, as a teen; never felt at home there, despite my mother living there half of her life. I am a diehard American.",10,10,Strongly favor,Strongly favor,Strongly favor,Strongly oppose,Strongly oppose,Strongly oppose,No,"I don't need help voting; I always vote. English is my native language, America is my country.",,,66059f112a799642519f8e87,0,0
3,5/7/25 15:57,5/7/25 16:08,IP Address,68.187.24.134,100,638,TRUE,5/7/25 16:08,R_3sDIZAfm8evyKQx,,,,,33.9249,-117.4592,anonymous,EN,651f877f99a86ed3d73471c5,I consent,"Yes, Mexican",,California,1988,Female,Other,4,"$50,000-$74,999","Not at all interested,Very interested","Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS etc.)",Latinx,the Republican Party,Mike Johnson,Chuck Schumer,"Fox News,NBC",Strongly agree,Strongly disagree,Strongly disagree,Yes,Both were born in the US,"Three in the US, one elsewhere",English,,Some,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,(4) I definitely voted in the 2024 election,Other,Something else,Independent,,Closer to the Democratic Party,Most of the time,0,7,0,5,0,0,Immigration,Strongly support,Somewhat likely,It would positively affect ${q://QID116/ChoiceGroup/SelectedChoices}s,It would positively affect immigrants,"No, a little less",A lot,Some,"Yes, for my ethnicity",Somewhat disagree,Neither agree or agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat disagree,Strongly disagree,Strongly agree,9,9,"This is where I was born and raised, it's where many people who share my Mexican-American heritage also live. I've lived in another state with less Mexican-Americans and it felt isolating and lonely. I want to live in community with people who share my culture, values, and history. For me, that is specifically Southern California. I get to express and experience my culture in so many ways--Chicano Art Museum, Chicano Park Day, Tamale Festival, Day of the Dead Festivals, etc. The one element of why I don't feel totally as if I belong here is because I'm being priced out of my own community.  ","I belong here because, as stated in the Constitution, I am granted citizenship right as someone born here. End of story. The reason that I didn't put a 10, is because as a Brown queer woman I am constantly being made to feel through policies and fake culture wars that I don't belong and it can feel isolating. ",9,5,Strongly oppose,Strongly oppose,Strongly oppose,Strongly favor,Strongly favor,Strongly favor,,,No,I can make my own decisions. Latinx are not a monolith and we vote based on our own personal values. ,651f877f99a86ed3d73471c5,0,0
4,5/7/25 15:58,5/7/25 16:08,IP Address,73.142.151.210,100,651,TRUE,5/7/25 16:09,R_75V0au1B0GzN0Up,,,,,41.3908,-73.4483,anonymous,EN,6638e8aa3d1f38846080806a,I consent,"Yes, other (Please specify.)",Brazilian,Connecticut,1998,Male,White or Caucasian,3,"$50,000-$74,999","Not at all interested,Very interested",Bachelor’s degree,Latino/a,,Mike Johnson,Mike Johnson,"Fox News,NBC",Strongly agree,Strongly disagree,Strongly disagree,Yes,Both were born in the US,All four born outside the US,English,,Not at all,Strongly disagree,Somewhat agree,Strongly disagree,Somewhat agree,(4) I definitely voted in the 2024 election,Donald Trump,Something else,Independent,,Neither,Always,5,0,5,0,5,0,Healthcare,Strongly support,Somewhat likely,It would positively affect ${q://QID116/ChoiceGroup/SelectedChoices}s,It would positively affect immigrants,"No, the same amount",Some,Some,"Yes, for my ethnicity,Yes, for being an immigrant,Yes, for having an accent",Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Somewhat agree,Strongly disagree,Strongly disagree,Somewhat agree,5,5,"I feel like I belong because I live here and do many things here, but sometimes I don't feel like belonging because I am treated differently because of my accent.","I feel like I belong because I live here and do many things here, but sometimes I don't feel like belonging because I am treated differently because of my accent.",5,5,Neither favor nor oppose,Strongly oppose,Neither favor nor oppose,Strongly oppose,Strongly favor,Strongly favor,Yes,Because I feel like I would like to know more about that Voto Latino,,,6638e8aa3d1f38846080806a,0,0
5,5/7/25 16:10,5/7/25 16:11,IP Address,,100,43,TRUE,5/7/25 16:11,R_1HG1oxT4zyjb9BR,,,,,,,anonymous,EN,67f052147bb0231d3bddc9df,I consent,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67f052147bb0231d3bddc9df,0,0
6,5/7/25 15:59,5/7/25 16:11,IP Address,68.96.199.154,100,721,TRUE,5/7/25 16:11,R_6okhDCJmxAx6e4O,,,,,36.2038,-115.2255,anonymous,EN,623ac50ed58ac10f7e259b8f,I consent,"Yes, Mexican",,Nevada,2000,Male,White or Caucasian,1,"$75,000-$99,999","Not at all interested,Very interested",Bachelor’s degree,Hispanic,the Republican Party,Mike Johnson,Mitch McConnell,"Fox News,NBC",Somewhat agree,Somewhat disagree,Strongly disagree,Yes,Both were born in the US,"Two in the US, two elsewhere",English,,Some,Somewhat disagree,Strongly disagree,Somewhat disagree,Neither agree or agree,(4) I definitely voted in the 2024 election,Kamala Harris,Democrat,,Strong,,Most of the time,1,6,2,4,2,5,Immigration,Somewhat oppose,Not at all likely,It would negatively affect ${q://QID116/ChoiceGroup/SelectedChoices}s,It would somewhat negatively affect immigrants,"Yes, a little more",A lot,Some,"Yes, for my ethnicity",Somewhat agree,Neither agree or agree,Somewhat agree,Somewhat disagree,Somewhat disagree,Neither agree or agree,Somewhat disagree,Strongly disagree,Somewhat agree,Strongly agree,9,10,I definitely feel like I belong in my state because I have lived here for over 10 years. I feel like the community I’m in is a good one.,"I do belong in the US because this is my home. Even despite all the issues this country is currently facing, there is a lot to look forward to.",8,8,Neither favor nor oppose,Strongly oppose,Neither favor nor oppose,Somewhat oppose,Strongly favor,Somewhat favor,Yes,I would like to learn more information about it.,,,623ac50ed58ac10f7e259b8f,0,0
7,5/7/25 15:59,5/7/25 16:12,IP Address,70.121.184.179,100,790,TRUE,5/7/25 16:12,R_7nbvo00lVkEGEmJ,,,,,29.5418,-98.4212,anonymous,EN,651c4484ba17050f6b716614,I consent,"Yes, Mexican",,Texas,1993,Male,White or Caucasian,2,"$100,000-$149,999","Not at all interested,Very interested",High school diploma or GED,Hispanic,the Republican Party,Mike Johnson,Chuck Schumer,"Fox News,NBC",Somewhat agree,Somewhat disagree,Strongly disagree,Yes,Both were born in the US,"Three in the US, one elsewhere",English,,Some,Somewhat disagree,Somewhat agree,Neither agree or agree,Somewhat disagree,(4) I definitely voted in the 2024 election,Kamala Harris,Democrat,,Strong,,Most of the time,4,0,5,0,5,0,Healthcare,Somewhat support,Not at all likely,It would somewhat positively affect ${q://QID116/ChoiceGroup/SelectedChoices}s,It would positively affect immigrants,Don't know,Some,Some,"Yes, for my ethnicity",Somewhat agree,Strongly agree,Strongly agree,Neither agree or agree,Strongly agree,Strongly agree,Strongly agree,Somewhat disagree,Strongly disagree,Strongly agree,5,7,It's very right leaning. ,I was born in this country. I have a right to be here,5,5,Strongly oppose,Somewhat oppose,Strongly oppose,Strongly favor,Strongly favor,Strongly favor,,,No,I have plenty of information already.,651c4484ba17050f6b716614,0,0
8,5/7/25 16:02,5/7/25 16:13,IP Address,98.204.237.171,100,703,TRUE,5/7/25 16:13,R_6WG8XNY44w03eH7,,,,,39.2507,-76.5205,anonymous,EN,65baa72531ba3e8cb06d96ea,I consent,"Yes, Puerto Rican",,Maine,2004,Female,Black or African American,4,"$50,000-$74,999","Not at all interested,Very interested",High school diploma or GED,Hispanic,,Mike Johnson,Mitch McConnell,"Fox News,NBC",Somewhat agree,Strongly disagree,Strongly disagree,Yes,Both were born in the US,,English and Spanish are equally used,,Some,Strongly disagree,Strongly disagree,Somewhat agree,Strongly disagree,(1) I did not vote in the 2024 election,,Democrat,,Not so strong,,Always,0,0,0,0,2,0,State symbols,Neither support nor oppose,Somewhat likely,It would not affect ${q://QID116/ChoiceGroup/SelectedChoices}s,It would not affect immigrants,"No, the same amount",A lot,A lot,"Yes, for my ethnicity",Neither agree or agree,Somewhat agree,Somewhat disagree,Neither agree or agree,Strongly disagree,Somewhat disagree,Strongly agree,Somewhat agree,Strongly disagree,Somewhat agree,5,10,I don't necessarily feel excluded but I don't feel very welcome either.,"I've lived here my entire life, I belong here.",5,4,Strongly oppose,Somewhat oppose,Strongly oppose,Somewhat favor,Strongly favor,Strongly favor,Yes,I would like information on what's going on politically.,,,65baa72531ba3e8cb06d96ea,0,0
