"","State","latino_sym_16","foreign_sym_16","latino_conc_16","foreign_conc_16","latino_sym_20","foreign_sym_20","latino_conc_20","foreign_conc_20"
"1","AK",-2,-2,-1,-1,NA,NA,NA,NA
"2","AL",-8.25,-8.25,-10.25,-10.25,-1.25,-1.25,0,0
"3","AR",2.25,2.25,2.25,2.25,10.5125,10.5125,11.0125,11.0125
"4","AZ",-27.5,-27,-26,-25.5,-6.7375,-6.7375,-7.7375,-7.7375
"5","CA",174,174.25,136.5,136.75,250.5,250.5,212.5,212.5
"6","CO",14,14,12.5,12.5,33.25,33.25,30.75,30.75
"7","CT",19.75,19.5,19.75,19.5,6,6,6,6
"8","DC",12,12,11,11,45.5,45.5,44,44
"9","DE",9.5,9.5,5,5,2.5,2.5,-2,-2
"10","FL",8.25,8.25,4.25,4.25,-11.975,-11.975,-17.475,-17.475
"11","GA",5,5,-9,-9,1.0125,1.0125,-9.9875,-9.9875
"12","HI",20.5,20.5,7,7,2.5,2.5,-2,-2
"13","IA",5,5,5,5,5,5,5,5
"14","ID",-7.5,-7.5,-8,-8,2.525,2.525,2.525,2.525
"15","IL",57.5,57.5,37,37,61,61,48,48
"16","IN",-5,-5,-9,-9,3,3,3,3
"17","KS",1,1,1,1,14.7875,14.7875,14.2875,14.2875
"18","KY",-1.5,-1.5,-3,-3,-3,-3,-3,-3
"19","LA",19,19,19,19,3,3,3,3
"20","MA",-0.25,-0.25,-0.25,-0.25,6.25,6.25,6.25,6.25
"21","MD",14.5,14.5,14.5,14.5,15.75,15.75,15.75,15.75
"22","ME",7,7,7,7,6,6,6,6
"23","MI",2,2,-6,-6,11,11,4,4
"24","MN",11.5,11.5,12,12,24,24,24,24
"25","MO",6,6,6,6,11,11,11,11
"26","MS",-3,-3,-5,-5,-6,-6,-7,-7
"27","MT",0,0,0,0,-2.6875,-2.6875,-2.1875,-2.1875
"28","NC",-11.225,-11.225,-11.225,-11.225,-3.6375,-3.6375,-3.6375,-3.6375
"29","ND",-1,-1,-1,-1,-0.5,-0.5,0,0
"30","NE",16,16,15,15,5.75,5.75,4.75,4.75
"31","NH",-5,-5,-5,-5,3,3,3,3
"32","NJ",22,22,15,15,35.25,35.25,21.75,21.75
"33","NM",12.5,12.5,6,6,21,21,20,20
"34","NV",9.75,9.75,8.25,8.25,21.25,21.25,20.75,20.75
"35","NY",16,16,16,16,39.75,39.75,39.75,39.75
"36","OH",0.5,0.5,0.5,0.5,5.5,5.5,5.5,5.5
"37","OK",1.25,1.25,1.25,1.25,-8,-8,-8,-8
"38","OR",13,13,11,11,30,30,29,29
"39","PA",16,16,7,7,10.5,10.5,6,6
"40","RI",22,22,7,7,22,22,19,19
"41","SC",-5.225,-5.475,-5.725,-5.975,-12.475,-12.475,-12.975,-12.975
"42","SD",-0.5,-0.5,-2,-2,-2,-2,-2,-2
"43","TN",-12.25,-12.5,-13.75,-14,-12.5,-12.5,-12,-12
"44","TX",23,22.75,-4.5,-4.75,-0.6875,-0.6875,-11.1875,-11.1875
"45","UT",17.5,17.5,16,16,13,13,11,11
"46","VA",3.75,3.75,-8.25,-8.25,24.75,24.75,17.75,17.75
"47","VT",9,9,7,7,27.5,27.5,27,27
"48","WA",29.5,29.5,27,27,65,65,65,65
"49","WI",3.5,3.5,1,1,1.1125,1.1125,-0.3875,-0.3875
"50","WV",-5.5,-5.5,-7,-7,-1,-1,-1,-1
"51","WY",1,1,1,1,-3.7125,-3.7125,-3.7125,-3.7125
